Market_Date,Open Price $,High Price $,Low Price $,Close Price $,Volume,Adjusted Close Price $,Adjusted Close Price $_m,bb_bbh,bb_bbl,bb_bbhi,bb_bbli,bb_bbw,bb_bbp,RSI
2021-06-22,132.1300048828125,134.0800018310547,131.6199951171875,131.6199951171875,74783600.0,133.97999572753906,,,,0.0,0.0,,,26.949099749557405
2021-06-21,130.3000030517578,132.41000366210938,129.2100067138672,129.2100067138672,79663300.0,132.3000030517578,,,,0.0,0.0,,,24.52879164894894
2021-06-18,130.7100067138672,131.50999450683594,130.24000549316406,130.24000549316406,108953300.0,130.4600067138672,,,,0.0,0.0,,,22.227349628482514
2021-06-17,129.8000030517578,132.5500030517578,129.64999389648438,129.64999389648438,96721700.0,131.7899932861328,,,,0.0,0.0,,,27.40950393558404
2021-06-16,130.3699951171875,130.88999938964844,128.4600067138672,128.4600067138672,91815000.0,130.14999389648438,,,,0.0,0.0,,,25.22761582853917
2021-06-15,129.94000244140625,130.60000610351562,129.38999938964844,129.38999938964844,62746300.0,129.63999938964844,,,,0.0,0.0,,,24.586946256688933
2021-06-14,127.81999969482422,130.5399932861328,127.06999969482422,127.06999969482422,96906500.0,130.47999572753906,,,,0.0,0.0,,,27.76733225642772
2021-06-11,126.52999877929688,127.44000244140625,126.0999984741211,126.0999984741211,53522400.0,127.3499984741211,,,,0.0,0.0,,,23.82612183552736
2021-06-10,127.0199966430664,128.19000244140625,125.94000244140625,125.94000244140625,71186400.0,126.11000061035156,,,,0.0,0.0,,,22.494661298136947
2021-06-09,127.20999908447266,127.75,126.5199966430664,126.5199966430664,56877900.0,127.12999725341797,,,,0.0,0.0,,,26.07182744412094
2021-06-08,126.5999984741211,128.4600067138672,126.20999908447266,126.20999908447266,74403800.0,126.73999786376953,,,,0.0,0.0,,,25.59635301651855
2021-06-07,126.16999816894531,126.31999969482422,124.83000183105469,124.83000183105469,71057600.0,125.9000015258789,,,,0.0,0.0,,,24.58003854235271
2021-06-04,124.06999969482422,126.16000366210938,123.8499984741211,123.8499984741211,75169300.0,125.88999938964844,,,,0.0,0.0,,,24.567811870265515
2021-06-03,124.68000030517578,124.8499984741211,123.12999725341797,123.12999725341797,76229200.0,123.54000091552734,,,,0.0,0.0,,,21.87655115894539
2021-06-02,124.27999877929688,125.23999786376953,124.05000305175781,124.05000305175781,59278900.0,125.05999755859375,,,,0.0,0.0,,,27.298833363178588
